Spectrum Name:	Co-60
Description:	sample Compton spectrum from a plastic scintillator

Channel Data:
Chan		Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		25
11		15488
12		56353
13		78622
14		76102
15		74434
16		72734
17		72134
18		70430
19		70043
20		69044
21		68220
22		67485
23		66448
24		66039
25		64979
26		64075
27		63248
28		62111
29		60876
30		60333
31		58645
32		57203
33		57001
34		55369
35		53853
36		53160
37		51754
38		50984
39		49517
40		49061
41		48063
42		47044
43		46474
44		45626
45		45269
46		45394
47		44027
48		43748
49		43312
50		43094
51		42115
52		42409
53		41916
54		41476
55		41164
56		40800
57		41075
58		40274
59		39663
60		39675
61		39781
62		39584
63		38901
64		38550
65		38879
66		38930
67		38403
68		38387
69		38009
70		37830
71		37780
72		37350
73		37661
74		37708
75		37460
76		37339
77		36851
78		37247
79		36833
80		37143
81		36602
82		36474
83		36262
84		36575
85		36130
86		36424
87		35905
88		35984
89		35605
90		36053
91		35344
92		35522
93		35317
94		35829
95		35162
96		34902
97		35699
98		35198
99		35162
100		35188
101		34942
102		35021
103		34581
104		34834
105		34844
106		34506
107		34645
108		34517
109		34273
110		33742
111		33981
112		34047
113		33830
114		33897
115		34054
116		33973
117		33786
118		34076
119		33315
120		33587
121		33451
122		33809
123		33064
124		33415
125		33049
126		33186
127		33021
128		32663
129		32770
130		32807
131		32613
132		32504
133		32647
134		33431
135		32659
136		32545
137		32445
138		32462
139		32329
140		32329
141		32137
142		32178
143		32004
144		32250
145		32077
146		32016
147		31960
148		32062
149		32088
150		31782
151		31284
152		31712
153		31513
154		31772
155		31450
156		31526
157		31184
158		31400
159		31278
160		31236
161		31889
162		31488
163		31035
164		31082
165		31046
166		31086
167		31356
168		31290
169		31108
170		31107
171		30595
172		31203
173		30886
174		30860
175		30518
176		31063
177		30617
178		30651
179		30535
180		30333
181		30403
182		30785
183		30205
184		30556
185		30615
186		30610
187		30092
188		30875
189		30262
190		30419
191		30181
192		29859
193		30646
194		30525
195		30257
196		30018
197		30172
198		30414
199		29932
200		30168
201		29915
202		30248
203		29716
204		30281
205		29910
206		29874
207		30312
208		30344
209		30134
210		29819
211		30082
212		30362
213		29961
214		30341
215		29986
216		30193
217		30079
218		30234
219		30004
220		30195
221		30320
222		30370
223		30113
224		30439
225		30558
226		30279
227		30352
228		30726
229		30243
230		30210
231		30264
232		30559
233		30636
234		30778
235		30765
236		31027
237		30512
238		30906
239		30877
240		30847
241		31051
242		31295
243		31141
244		31689
245		31573
246		31811
247		31651
248		31576
249		32070
250		31992
251		32360
252		32502
253		32061
254		32532
255		32681
256		32908
257		33301
258		33450
259		33395
260		33585
261		34043
262		34315
263		33724
264		34286
265		34481
266		34857
267		34504
268		35243
269		34740
270		35536
271		35232
272		35735
273		35757
274		35887
275		35715
276		36752
277		36069
278		36724
279		36508
280		37095
281		37043
282		36836
283		36719
284		37191
285		36747
286		36900
287		36493
288		36484
289		36729
290		36399
291		36025
292		35884
293		35869
294		36001
295		35231
296		34936
297		34426
298		34389
299		34191
300		33284
301		32793
302		32686
303		31839
304		31774
305		31019
306		31152
307		30281
308		30317
309		29730
310		29020
311		28343
312		28265
313		27866
314		27720
315		26912
316		26670
317		26078
318		25918
319		25076
320		24766
321		24937
322		24457
323		23813
324		23954
325		23545
326		23235
327		22634
328		22408
329		21851
330		21845
331		21257
332		21109
333		20647
334		20278
335		19819
336		19739
337		18917
338		18829
339		18543
340		18259
341		17690
342		17255
343		17006
344		16612
345		16002
346		15630
347		14814
348		14785
349		14195
350		13691
351		13125
352		12519
353		12313
354		11771
355		11050
356		10675
357		10245
358		9793
359		9428
360		8915
361		8421
362		8025
363		7579
364		7131
365		6806
366		6514
367		5988
368		5646
369		5176
370		5030
371		4641
372		4507
373		4081
374		3873
375		3731
376		3439
377		3314
378		2901
379		2747
380		2642
381		2325
382		2239
383		2110
384		1814
385		1796
386		1713
387		1518
388		1457
389		1411
390		1219
391		1153
392		1096
393		1024
394		928
395		821
396		792
397		732
398		744
399		709
400		653
401		614
402		543
403		511
404		478
405		482
406		439
407		434
408		426
409		401
410		407
411		332
412		370
413		352
414		328
415		310
416		303
417		297
418		291
419		274
420		272
421		246
422		269
423		248
424		231
425		225
426		248
427		218
428		269
429		225
430		215
431		240
432		223
433		215
434		229
435		249
436		209
437		203
438		201
439		189
440		209
441		215
442		210
443		185
444		213
445		170
446		214
447		221
448		209
449		173
450		201
451		197
452		170
453		152
454		214
455		175
456		179
457		184
458		157
459		147
460		186
461		162
462		172
463		180
464		165
465		170
466		156
467		171
468		135
469		177
470		143
471		185
472		160
473		164
474		165
475		156
476		137
477		156
478		156
479		164
480		149
481		150
482		150
483		174
484		153
485		155
486		158
487		151
488		142
489		151
490		121
491		146
492		174
493		133
494		140
495		136
496		166
497		147
498		139
499		136
500		131
501		130
502		120
503		149
504		148
505		144
506		142
507		113
508		129
509		138
510		135
511		122
